,Unnamed: 0,prefix,fname,lname,gender,email,age,weight,date of Joining,age in company,salary,hike,expenses,income,saving,cars,car_type,ssn,city,state,zip,region,diabetics,smoker
0,0,Ms.,Angelique,Goodwin,F,angelique.goodwin@gmail.com,53.24,56,3/24/2001,16.36,193710,0.27,34985,42660,7675,3,audi,471-57-0359,Rochester,NY,14624,Northeast,Type A,Yes
1,1,Ms.,Jeni,Shaffer,F,jeni.shaffer@gmail.com,55.58,54,12/10/2015,1.63,144133,0.3,35984,43899,7915,3,audi,624-85-4146,Luverne,AL,36049,South,Healthy,Yes
2,2,Ms.,Donald,Farris,F,donald.farris@bellsouth.net,59.34,40,11/12/1979,37.73,132617,0.18,36272,44918,8646,3,audi,097-02-3315,Hodges,AL,35571,South,Healthy,Yes
3,3,Hon.,Steven,Rendon,M,steven.rendon@gmail.com,35.34,81,9/18/2008,8.86,77898,0.15,61640,72809,11169,4,audi,134-98-6566,Savoy,IL,61874,Midwest,Healthy,Yes
4,4,Drs.,Jenell,Almanza,F,jenell.almanza@yahoo.com,59.12,47,7/14/1993,24.05,139856,0.06,62422,72500,10078,4,audi,599-92-7345,Stet,MO,64680,Midwest,Healthy,Yes
5,5,Mrs.,Almeta,Brookins,F,almeta.brookins@gmail.com,32.24,41,4/25/2017,0.26,90576,0.23,62980,73151,10171,4,chevrolet,109-98-3095,Lyons,GA,30436,South,Healthy,Yes
6,6,Prof.,Bobbie,Branson,M,bobbie.branson@hotmail.com,21.48,71,4/27/2017,0.25,178641,0.1,63511,73361,9850,4,chevrolet,047-15-8435,Kalida,OH,45853,Midwest,Healthy,Yes
7,7,Prof.,Bertram,Carlisle,M,bertram.carlisle@aol.com,34.6,61,11/2/2012,4.74,163773,0.1,127275,136825,9550,4,chevrolet,257-99-3865,Hamilton,PA,15744,Northeast,Healthy,Yes
8,8,Prof.,Carlton,Leclair,M,carlton.leclair@cox.net,31.39,56,1/7/2009,8.56,50397,0.29,128571,138216,9645,4,chevrolet,044-15-4027,Panama,IA,51562,Midwest,Healthy,Yes
9,9,Mr.,Todd,Slater,M,todd.slater@earthlink.net,22.15,58,3/7/2017,0.39,54458,0.12,129988,140168,10180,4,chevrolet,553-99-2106,Young America,MN,55558,Midwest,Healthy,Yes
10,10,Mr.,Adalberto,Hazel,M,adalberto.hazel@yahoo.co.in,57.68,66,4/27/1995,22.27,120471,0.1,97419,103277,5858,2,chevrolet,264-99-9423,Bear Creek,WI,54922,Midwest,Healthy,Yes
11,11,Mr.,Seymour,Nelson,M,seymour.nelson@hotmail.com,21.53,63,7/2/2017,0.07,77853,0.29,57527,69173,11646,4,chevrolet,119-98-1796,Harleysville,PA,19441,Northeast,Healthy,Yes
12,12,Mr.,Vicente,Dawkins,M,vicente.dawkins@gmail.com,23.13,62,7/2/2016,1.07,169446,0.11,58377,69300,10923,4,dodge,116-98-6696,Reddick,IL,60961,Midwest,Type B,Yes
13,13,Mr.,Rex,Ng,M,rex.ng@yahoo.com,34.96,68,1/17/2007,10.53,153446,0.07,58859,69561,10702,4,dodge,192-86-7823,Kreamer,PA,17833,Northeast,Type B,Yes
14,14,Drs.,Arlena,Clough,F,arlena.clough@yahoo.com,59.82,48,12/26/2015,1.59,95109,0.15,32659,40835,8176,3,dodge,032-92-6090,Sublette,KS,67877,Midwest,Type B,Yes
15,15,Mr.,Cory,Clarke,M,cory.clarke@shell.com,37.18,89,4/27/2012,5.25,179134,0.16,33728,41209,7481,3,dodge,731-28-8642,Mesa,AZ,85207,West,Type B,Yes
16,16,Mrs.,Sofia,Poole,F,sofia.poole@earthlink.net,52.68,43,7/18/1993,24.04,150019,0.24,34985,42660,7675,3,ford,126-98-9929,Brockway,PA,15824,Northeast,Type B,Yes
17,17,Dr.,Samuel,Wendt,M,samuel.wendt@bellsouth.net,40.7,72,2/24/2016,1.42,198487,0.26,28989,30000,1011,0,ford,369-39-1426,Atlanta,GA,30371,South,Type B,Yes
18,18,Mr.,Virgil,Trowbridge,M,virgil.trowbridge@aol.com,31.33,73,11/21/2016,0.68,199714,0.11,79784,91341,11557,4,ford,005-13-9026,Washington,DC,20242,South,Type B,Yes
19,19,Ms.,Elda,Champagne,F,elda.champagne@gmail.com,34.21,50,11/8/2016,0.72,146140,0.04,81508,92444,10936,4,ford,540-83-9723,Lake Itasca,MN,56460,Midwest,Type B,Yes
20,20,Mr.,Robert,Guinn,M,robert.guinn@walmart.com,45.15,67,1/8/1997,20.56,86539,0.12,83024,92840,9816,4,honda,403-73-1584,Montpelier,IN,47359,Midwest,Type B,Yes
21,21,Prof.,Humberto,Sauer,M,humberto.sauer@yahoo.com,28.32,66,11/12/2012,4.71,116308,0.28,83620,93077,9457,4,honda,210-84-3620,Jeddo,MI,48032,Midwest,Type B,Yes
22,22,Mrs.,Anastasia,Childers,F,anastasia.childers@hotmail.com,28.62,42,2/26/2011,6.42,184099,0.24,61829,65909,4080,2,honda,753-07-4603,Dallas,WI,54733,Midwest,Healthy,Yes
23,23,Ms.,Collene,Kidd,F,collene.kidd@shell.com,52.45,50,8/14/1993,23.97,59428,0.07,117609,125356,7747,3,honda,704-18-2387,Reedley,CA,93654,West,Healthy,Yes
24,24,Hon.,Harris,Beavers,M,harris.beavers@shell.com,46.9,87,1/29/1999,18.51,147337,0.14,120178,127784,7606,3,honda,008-94-7794,Brandon,FL,33511,South,Healthy,Yes
